,dengue_cases,mean_temperature,mean_humidity
163,23,25.3650792857,78.1555554286
164,27,24.09198,83.8666662857
165,28,23.3003761429,93.9085208571
166,20,23.5031744286,93.0047622857
167,14,23.2503401429,89.5193871429
168,15,20.8435671667,84.6659356667
169,12,19.7585212857,84.7368428571
170,17,21.7023808571,87.4071428571
171,12,22.5781464286,85.369048
172,9,19.6857145714,89.9047611429
173,10,18.6108844286,93.6227042857
174,7,18.0373951429,93.6351534286
175,4,18.6537035,87.2703701667
176,5,19.3906014286,88.4642857143
177,7,19.9027776667,92.8111106667
178,2,17.6666667143,95.1857142857
179,2,19.4642857143,86.7523805714
180,1,16.3080748571,83.53851
181,4,17.5833331429,84.9214285714
182,2,17.547619,81.2857142857
183,5,13.5571428571,86.1261908571
184,4,16.9190474286,78.780952
185,5,15.0122447143,76.4979585714
186,5,16.7986394286,75.582994
187,5,16.9214285714,71.9214285714
188,6,18.0380951429,70.240476
189,6,18.1619045714,91.619048
190,4,16.3809524286,92.319048
191,5,19.5428571429,70.1619045714
192,12,20.0933332,64.1233328
193,11,20.437905876923075,65.51342673846153
194,9,20.782478553846154,66.90352067692308
195,7,21.12705123076923,68.29361461538461
196,12,21.471623907692308,69.68370855384616
197,9,21.816196584615383,71.07380249230769
198,9,22.160769261538462,72.46389643076922
199,11,22.505341938461537,73.85399036923077
200,10,22.849914615384616,75.2440843076923
201,6,23.19448729230769,76.63417824615385
202,14,23.53905996923077,78.02427218461538
203,15,23.883632646153846,79.41436612307692
204,22,24.22820532307692,80.80446006153846
205,14,24.572778,82.194554
206,10,23.7924604286,75.7205465714
207,10,24.4503965714,84.5195264286
208,12,23.4777778571,92.5000242857
209,60,23.2015871429,91.88979
210,12,21.843254,93.5406362857
211,18,23.8432535714,88.7169651429
212,16,24.2900792857,85.1255977143
213,16,21.9857144286,90.5380177143
214,7,22.9416668571,76.871218
215,11,21.8031744286,94.690695
216,8,22.8085497143,88.4905737143
217,8,24.2872294286,87.0739187143
218,10,23.5714285714,92.4982685714
219,14,24.6181817143,90.7171342857
220,7,23.7129871429,92.4768285714
221,5,22.4610388571,91.3731191429
222,5,21.848052,93.3356572857
223,4,21.7428568571,87.8120855714
224,5,20.1772728571,78.0743951429
225,3,23.5892857143,72.4800385714
226,12,25.8988094286,61.2963604286
227,3,23.5178571429,70.8610021429
228,2,22.6726188571,78.1346581429
229,6,16.075433,75.9236178571
230,3,18.3012985714,72.7773428571
231,7,17.6259738571,90.8839794286
232,5,19.5649348571,88.1938072857
233,5,17.8714284286,80.4584262857
234,8,22.2889608571,55.6792371429
235,7,21.1142854286,61.5091744286
236,5,15.8103894286,63.8302471429
237,2,24.7773811429,48.477055
238,5,22.4285717143,60.1858492857
239,2,20.0238097143,74.6019157143
240,3,16.9940478571,86.049599
241,3,16.2206555714,79.5341361429
242,4,19.8168831429,75.2751544286
243,3,18.9233767143,73.4727658571
244,2,16.9155844286,81.7432705714
245,3,18.1220777143,84.7494211429
246,4,19.5571428571,92.6535108571
247,5,22.3363637143,81.1770128571
248,7,23.3895022857,82.5925335714
249,1,23.7916665714,85.53407657139999
250,6,23.5714285714,86.399145
251,8,20.1948051429,89.9333905714
252,21,20.6454545714,84.237145
253,14,19.5301585714,90.8812891429
254,8,23.6269841429,85.5049511429
255,16,20.7126981429,92.8664848571
256,23,21.9809527143,86.9480098571
257,21,22.5087305714,82.4436707143
258,39,27.3273814286,61.3311388571
259,86,28.7738091429,69.3125677143
260,136,23.3773811429,91.227303
261,208,24.2984127143,93.4311441429
262,547,24.5888887143,86.8696062857
263,924,26.3952382857,81.49486
264,1419,27.8571428571,75.5560962857
265,1546,29.4285714286,58.6369318571
266,1931,24.2349205714,81.94027
267,2334,23.9079364286,86.8903185714
268,2613,22.725974,96.5789837143
