,casos,tempmed,umidmed
175,2,16.642857,85.625
176,10,17.2,84.1166666667
177,3,17.2,92.8
178,5,16.0,89.0
179,3,16.2857142857,88.2857142857
180,3,14.2051283333,90.628205
181,3,13.8333333333,93.0
182,3,12.4,92.8
183,3,11.5,87.6666666667
184,2,11.8,91.4
185,2,11.2,90.2
186,2,10.3333333333,91.5
187,4,10.3333333333,89.5
188,3,10.2,90.0
189,0,16.2,90.4
190,1,13.4285714286,89.7142857143
191,2,13.9642857143,86.6071428571
192,2,13.83928575,79.125
193,3,15.052023775,77.3798349
194,4,16.2647618,75.6346698
195,4,17.477499825,73.8895047
196,3,18.69023785,72.1443396
197,1,19.902975875,70.3991745
198,7,21.1157139,68.6540094
199,3,22.328451925,66.9088443
200,10,23.54118995,65.1636792
201,9,24.753927975,63.4185141
202,13,25.966666,61.673349
203,13,24.0285712857,73.9472431429
204,4,24.1238092857,68.8876991429
205,13,21.9619048571,83.1162121429
206,8,19.5,85.6159294286
207,9,21.3761904286,86.0779578571
208,7,21.3571428571,89.6264464286
209,5,21.0,85.8804128571
210,11,22.2809524286,81.3837091429
211,8,21.8000001429,85.1588278571
212,28,21.4190474286,88.4818077143
213,7,20.1428571429,89.5522628571
214,4,20.1809522857,86.5431052857
215,0,21.0,88.3773542857
216,7,21.5714285714,88.0050521429
217,3,24.1857142857,80.8849178571
218,7,21.7142857143,90.8264292857
219,3,21.4285714286,90.8197085714
220,10,21.6428571429,89.3142484286
221,1,20.5714285714,87.60002014290001
222,3,20.5,91.9677614286
223,4,19.0,90.7063958571
224,5,17.852381,87.3742722857
225,7,23.4952387143,69.1003228571
226,2,23.9619045714,64.0350775714
227,9,22.171428,69.1058531429
228,6,22.3142858571,72.9202471429
229,6,13.7411765,81.3902737143
230,7,14.1,87.5083007143
231,3,15.8571428571,88.8272514286
232,6,16.5,91.6194471429
233,7,14.4285714286,90.8900574286
234,8,12.0714285714,92.7575505714
235,5,13.0,92.4316302857
236,5,10.4285714286,90.9482078571
237,5,18.0095237143,69.4958448571
238,5,21.1904761429,62.8535067143
239,2,19.7142857143,73.5389308571
240,1,19.5238094286,69.0581774286
241,2,15.495238,81.531468
242,3,14.6428571429,91.2225994286
243,4,15.0714285714,88.5436442857
244,1,14.6632652857,85.2264197143
245,0,17.025974,81.2515224286
246,1,17.0238094286,93.062083
247,3,19.7142857143,87.92226
248,1,20.2857142857,84.5056837143
249,3,23.8053374286,79.36207
250,4,23.2430067143,77.7877932857
251,1,19.3571428571,88.3479135714
252,0,19.2142857143,88.3479995714
253,1,18.5714285714,94.7902734286
254,2,22.1428571429,85.2672408571
255,3,18.8571428571,92.4123677143
256,5,21.4505492857,84.6476765714
257,3,20.7582418571,86.6782234286
258,1,27.813187,52.9867801429
259,1,28.8571424286,64.0413441429
260,3,22.7967032857,82.6770062857
261,7,23.095238,88.874159
262,4,22.4285714286,86.8543757143
263,2,26.4725277143,71.4773732857
264,3,26.7802195714,71.8077052857
265,7,29.945055,55.2032932857
266,10,22.9255187143,81.6773295714
267,10,20.5714285714,93.24847
268,3,21.2857142857,94.4864478571
269,11,21.9285714286,92.8953871429
270,17,21.7142857143,92.9461471429
271,21,22.1428571429,90.8590542857
272,25,21.8928571429,90.5591142857
273,37,20.0,89.9327565714
274,49,20.5714285714,89.1378085714
275,46,21.5974025714,90.8335442857
276,59,20.7680892857,88.0698457143
277,66,21.2889611429,88.8548934286
278,108,19.7755102857,89.7381027143
279,100,18.8571428571,91.535222
280,106,20.6623377143,85.7442148571
281,108,16.6493505714,86.6334542857
282,80,14.8571428571,95.5791877143
283,31,14.1428571429,89.5134307143
284,49,13.6493505714,91.1390625714
285,26,13.8571428571,94.7440528571
286,21,13.1428571429,95.6315571429
287,10,16.3896102857,82.1287484286
288,6,8.7142857143,88.5583208571
289,5,10.6493505714,89.9853907143
290,3,10.7142857143,93.6593591429
291,5,13.9870128571,88.5006461429
292,3,13.4545454286,91.0237271429
293,6,13.2857142857,88.6606267143
294,4,15.077922,86.9072084286
295,7,15.1948051429,83.40408
296,7,17.4285714286,90.5583571429
297,6,17.0,90.9682644286
298,6,19.2142857143,83.3076585714
299,8,16.4285714286,88.0731745714
300,8,18.1428571429,81.2878008571
301,9,19.5714285714,85.6035
302,1,20.7142857143,77.6611001429
303,2,19.2142857143,80.0215085714
304,1,21.7857142857,77.3125685714
305,2,21.7142857143,78.1925978571
306,3,20.2857142857,82.221468
307,1,21.0408164286,77.5426562857
308,2,21.8265307143,69.7870412857
309,2,21.010204,79.7382102857
310,5,20.5714285714,80.9559342857
311,3,23.0,74.2016305714
312,0,22.2040817143,76.0063411429
313,7,24.690476,67.9679423333
314,6,27.8163267143,62.1487904286
315,6,26.1836735714,67.0615722857
316,9,24.642857,62.7931644286
317,18,28.4489798571,53.285215
318,4,22.833024,77.9353584286
319,22,20.1836735714,84.3490117143
320,22,22.1428571429,81.7330417143
321,15,20.4897958571,80.6879008571
322,19,19.4489795714,78.4070278571
323,22,24.908163,64.9100675714
