,casos,tempmed,umidmed
178,0,10.0,93.8
179,0,12.5,94.0
180,0,13.5694443333,91.069444
181,0,11.8571428571,92.1428571429
182,0,9.3333333333,93.6666666667
183,0,10.6,90.0
184,1,11.7142857143,94.7142857143
185,0,10.5,89.25
186,0,10.4,95.2
187,0,9.4,91.5333328
188,0,9.8,90.8
189,0,13.4285714286,93.8571428571
190,0,12.0,94.0
191,0,9.2857142857,91.5714285714
192,0,11.6285714,83.1428574
193,0,12.193040279484615,83.57082721538461
194,0,12.757509158969231,83.99879703076923
195,1,13.321978038453846,84.42676684615384
196,1,13.88644691793846,84.85473666153845
197,0,14.450915797423077,85.28270647692307
198,0,15.015384676907692,85.71067629230768
199,0,15.579853556392308,86.13864610769231
200,0,16.144322435876923,86.56661592307692
201,1,16.708791315361537,86.99458573846154
202,1,17.273260194846152,87.42255555384615
203,2,17.837729074330767,87.85052536923077
204,0,18.402197953815385,88.27849518461538
205,0,18.9666668333,88.706465
206,0,17.1952381429,87.8856771429
207,0,19.1547617143,82.3974384286
208,0,19.4761905714,88.1754377143
209,0,18.9761905714,90.3015348571
210,1,19.4619048571,82.4055348571
211,4,21.4380951429,71.0850297143
212,1,18.6571428571,88.6537617143
213,2,17.2142857143,90.1480628571
214,2,17.6156461429,91.3908154286
215,1,17.5714285714,87.5406157143
216,2,18.6809522857,89.976455
217,4,20.9666665714,85.0416098571
218,5,19.2142857143,93.9392534286
219,1,18.2142857143,93.513753
220,2,18.3571428571,92.6640147143
221,2,17.2857142857,90.61368
222,0,17.5,93.8613157143
223,3,16.5,91.8346128571
224,1,15.095238,90.4906485714
225,1,18.784501,78.2377528571
226,0,20.2476192857,67.0951472857
227,1,18.9131654286,69.7190851429
228,1,18.957143,79.5696992857
229,0,11.7809522857,83.3395304286
230,0,11.0714285714,91.0760657143
231,0,13.2142857143,93.7394914286
232,0,13.2857142857,94.1926837143
233,0,11.2142857143,93.6839842857
234,0,11.5714285714,93.2527471429
235,0,9.7142857143,93.48820142860001
236,0,9.7857142857,92.19901
237,1,16.1333332857,70.5141701429
238,0,16.847619,70.117657
239,0,17.1215687143,76.0506318571
240,0,18.3999995714,71.8717317143
241,0,12.604762000000001,86.6916224286
242,0,12.1428571429,88.9571958571
243,0,12.7857142857,89.7927528571
244,1,11.3571428571,85.4462414286
245,0,12.7142857143,92.4080342857
246,0,16.1428571429,92.1317222857
247,0,16.9285714286,85.995871
248,2,18.1190474286,87.120384
249,0,21.742857,72.7544361429
250,2,19.5904757143,85.0854768571
251,0,15.5714285714,90.9031535714
252,0,16.5714285714,90.9962194286
253,1,16.0714285714,92.9633028571
254,0,17.7142857143,90.98151
255,0,17.0714285714,89.073858
256,1,16.0,92.5354342857
257,0,17.4095238571,91.5036534286
258,0,21.8190477143,66.8050871429
259,2,24.838095,63.2702722857
260,0,19.6952378571,84.5874985714
261,1,18.2857142857,93.8973931429
262,2,17.1428571429,93.0245214286
263,0,22.6863097143,71.334392
264,2,24.2190475714,64.0481651429
265,2,25.1218537143,57.0779265714
266,2,20.5196428571,80.6918011429
267,3,18.0,92.242514
268,4,18.2857142857,94.4164938571
269,3,18.5,91.8554548571
270,1,18.7142857143,92.310998
271,5,18.2142857143,93.4809228571
272,3,18.0,92.2337057143
273,3,15.7857142857,91.2652274286
274,6,17.6428571429,92.2564014286
275,4,17.7380951429,93.1664891429
276,4,17.1428571429,93.4834885714
277,6,16.1071428571,94.2902851429
278,6,16.7142857143,93.4334365714
279,9,16.0,93.8497017143
280,3,16.0,93.3939254286
281,8,12.7857142857,91.978638
282,3,11.0714285714,94.9492737143
283,6,11.2142857143,92.2930171429
284,8,13.1952381429,92.768818
285,0,11.8571428571,92.3016801429
286,0,12.0,93.3808342857
287,0,10.5,88.4770011429
288,2,5.4285714286,92.8590492857
289,2,9.2857142857,89.6823098571
290,0,8.6428571429,93.9051662857
291,0,10.8571428571,91.9035721429
292,2,11.8571428571,94.1173087143
293,0,10.0,89.6374877143
294,0,11.7142857143,90.9983068571
295,0,11.9285714286,89.838313
296,1,14.6428571429,90.8960865714
297,1,14.0,88.0939001429
298,0,16.4285714286,80.5666552857
299,1,13.5714285714,90.7537914286
300,0,14.5,89.7322097143
301,0,16.5,89.8177708571
302,1,17.1666665714,82.7319101429
303,0,16.5,90.9163714286
304,0,17.5714285714,93.0832808571
305,0,21.495238,76.3149118571
306,0,19.0571428571,83.08653
307,0,19.4652015714,83.5311112857
308,0,17.904762,85.6335727143
309,0,19.4190474286,84.4558828571
310,0,18.1809522857,89.6301954286
311,0,19.0285714286,84.5657945714
312,1,18.4,88.7326682857
313,1,20.2000001667,80.07648
314,1,23.2095238571,76.6198911429
315,2,22.657143,77.5172071429
316,6,19.9809525714,83.7446234286
317,2,23.8761907143,71.2285167143
318,0,20.0190475714,84.8454364286
319,2,18.676190428600002,89.6456722857
320,0,18.9285714286,87.989699
321,1,18.5285714286,89.6388227143
322,0,17.947619,88.0747941429
323,0,19.6095237143,80.8876385714
324,2,22.3238097143,75.52943
325,4,18.9047617143,73.5233931429
326,1,22.1428568571,74.9583392857
327,0,19.7714287143,82.6748065714
328,0,18.9238091429,80.6350892857
329,0,18.0,75.2710951429
330,0,18.9047618571,65.5723992857
331,1,16.7714284286,74.0405064286
332,0,16.5000002857,75.69528
333,0,18.0380954286,74.4994162857
334,0,17.668651,59.5867172857
335,0,19.911111,60.9148696
336,1,22.9629631667,55.3478461667
337,0,17.3511114,72.2853356
338,0,17.4395691429,64.1885248571
339,0,18.7761904286,65.4741944286
340,0,19.3768516667,63.2176078333
341,0,19.4120373333,65.966846
342,0,19.6653196667,57.304384
343,1,17.4018838571,70.7343684286
344,0,15.7613815714,64.7269342857
345,0,19.9999998571,57.9225448571
346,1,18.6734692857,71.2120402857
347,0,16.2959182857,63.5035495714
348,0,21.1615647143,54.584924
349,0,23.5123848571,44.6083261429
350,0,23.845631,44.6486024286
351,0,19.132653,72.8519545714
352,0,26.4089635714,45.5713325714
353,0,24.7401885714,61.6311741429
354,0,18.8333334286,74.3943948571
355,0,18.008634,80.036493
356,0,22.0408161429,68.5455794286
357,0,18.5612244286,73.1643721429
358,0,22.0714287143,72.8540288571
359,0,22.380690714300002,69.1583387143
360,0,20.8434066667,71.0622981667
361,0,21.18805863336,70.87538823336
362,0,21.53271060002,70.68847830002
363,0,21.877362566680002,70.50156836668
364,0,22.22201453334,70.31465843334
365,0,22.5666665,70.1277485
366,1,22.6952377143,72.8399415714
367,0,22.4779171429,75.9720257143
368,0,23.0761905714,59.9138107143
369,1,23.8212457143,58.4952215714
370,0,22.2442577143,71.745901
371,0,19.5741495714,82.5633405714
372,0,22.5595237143,74.4997918571
373,0,21.30068,76.0537708571
374,2,20.6904764286,73.897391
375,0,21.5047615714,77.6483798571
376,1,20.523757,72.8424918571
377,1,23.3619051429,66.5851025714
378,0,21.8761904286,69.7160467143
379,1,19.3542648571,70.761105
380,0,19.1884922857,65.9661107143
381,0,19.0556778571,69.1053588571
382,0,18.8761904286,73.1166975714
383,0,18.9714285714,66.4601055714
384,0,16.1999997143,75.6047247143
385,0,18.7619051429,64.8468722857
386,0,20.2761907143,68.4655431429
387,0,18.3414961429,76.8996084286
388,0,16.7904761429,81.2267635714
389,1,15.1346938571,74.9155664286
390,0,16.857143,69.8692514286
391,0,15.3571428571,64.9229888571
392,0,14.9285712857,63.4770297143
393,0,18.1275248571,57.752204
394,0,16.770635,55.6371436667
395,0,15.6829934286,54.2868901429
396,0,14.7591837143,69.2921721429
397,1,18.4680271429,63.3869662857
398,0,19.4857141429,64.3757621429
399,0,20.5401365714,54.2395267143
400,0,18.2265305714,69.167317
401,0,22.9176874286,61.2519902857
402,0,23.642857,61.71975
403,0,22.8842856,65.1944752
404,0,22.125714199999997,68.6692004
405,0,21.3671428,72.1439256
406,0,20.6085714,75.6186508
407,0,18.479792,82.9598126667
408,0,19.964626,79.373755
409,0,21.2605442857,71.6113104286
410,1,18.3727037143,82.6745221429
411,0,19.7002617143,72.7995962857
412,1,21.3850337143,68.5549331429
413,0,22.0782315714,70.7297774286
414,1,19.8095237143,75.8111302857
415,0,22.017007,79.4099942857
416,0,20.5902668571,70.7959408571
417,0,20.7088434286,78.6415242857
418,0,20.8528342857,83.041663
419,0,22.2862742857,75.6222868571
420,0,23.4190472857,69.9590697143
421,0,23.2190478571,68.1557764286
422,0,21.3987014286,82.592672
423,0,19.8102565714,86.6859188571
424,0,21.8309522857,76.801145
425,0,22.0761904286,77.8250122857
426,0,22.9696968571,66.1275671429
427,0,23.333333,65.0207567143
428,0,22.4,71.2280631429
429,1,21.2666665714,68.8486925714
